age,income,loan_amount,credit_score,employment_years,education,city,approved
50.0,93847.0,42744.0,384.0,10.0,bachelor,Biratnagar,1
36.0,99634.0,50543.0,350.0,15.0,high_school,Biratnagar,1
29.0,48251.0,47783.0,645.0,3.0,high_school,Kathmandu,1
42.0,45945.0,31657.0,669.0,19.0,high_school,Kathmandu,1
40.0,52217.0,41187.0,755.0,4.0,high_school,Pokhara,1
44.0,950000.0,52198.0,409.0,13.0,high_school,Biratnagar,0
32.0,25949.0,12239.0,669.0,15.0,bachelor,Biratnagar,1
32.0,71990.0,19489.0,698.0,17.0,high_school,Kathmandu,1
45.0,21150.0,54401.0,677.0,6.0,bachelor,Biratnagar,1
45.0,94740.0,48125.0,616.0,9.0,high_school,Lalitpur,1
24.0,86617.0,500000.0,710.0,6.0,master,Kathmandu,1
43.0,36896.0,33538.0,578.0,0.0,bachelor,Pokhara,1
23.0,66175.0,37049.0,619.0,18.0,master,Kathmandu,1
45.0,27805.0,42131.0,665.0,15.0,bachelor,Biratnagar,1
51.0,25237.0,47944.0,635.0,18.0,master,Pokhara,1
23.0,40056.0,55229.0,5.0,3.0,high_school,Kathmandu,1
42.0,65543.0,13427.0,562.0,17.0,high_school,Lalitpur,1
54.0,76556.0,46348.0,514.0,1.0,high_school,Lalitpur,1
33.0,23343.0,29285.0,354.0,0.0,bachelor,Kathmandu,0
43.0,33500.0,42626.0,688.0,14.0,master,Lalitpur,1
46.0,73222.0,47808.0,728.0,4.0,high_school,Lalitpur,1
48.0,49375.0,27928.0,427.0,19.0,master,Lalitpur,1
49.0,29662.0,58871.0,759.0,10.0,master,Pokhara,1
37.0,,24198.0,411.0,9.0,high_school,Lalitpur,0
36.0,79638.0,24758.0,481.0,1.0,high_school,Lalitpur,1
24.0,93666.0,20254.0,438.0,2.0,master,Lalitpur,1
28.0,87215.0,49238.0,586.0,11.0,high_school,Pokhara,1
,89042.0,6252.0,391.0,19.0,high_school,Kathmandu,1
30.0,33284.0,44764.0,,4.0,high_school,Biratnagar,0
39.0,92789.0,17173.0,751.0,4.0,bachelor,Lalitpur,1
25.0,81389.0,42441.0,645.0,5.0,master,Kathmandu,1
46.0,29435.0,31698.0,677.0,8.0,master,Lalitpur,1
35.0,74340.0,58682.0,644.0,1.0,bachelor,Pokhara,1
30.0,64078.0,20781.0,453.0,11.0,master,Kathmandu,1
47.0,98832.0,18051.0,363.0,2.0,high_school,Pokhara,1
23.0,71293.0,44649.0,637.0,19.0,master,Lalitpur,1
41.0,98781.0,11949.0,528.0,11.0,high_school,Lalitpur,1
49.0,80403.0,47289.0,474.0,16.0,bachelor,Pokhara,1
28.0,49124.0,13017.0,771.0,9.0,high_school,Biratnagar,1
,63919.0,11941.0,702.0,13.0,master,Pokhara,1
35.0,,30934.0,372.0,16.0,master,Lalitpur,0
38.0,82752.0,28386.0,412.0,17.0,master,Pokhara,1
25.0,76573.0,15209.0,492.0,18.0,bachelor,Biratnagar,1
23.0,79101.0,22715.0,502.0,16.0,bachelor,Pokhara,1
27.0,46646.0,33920.0,494.0,13.0,master,Biratnagar,1
25.0,43049.0,58413.0,574.0,8.0,high_school,Biratnagar,1
50.0,99605.0,36703.0,799.0,7.0,bachelor,Pokhara,1
39.0,88385.0,47318.0,,1.0,master,Pokhara,0
47.0,60158.0,59267.0,453.0,12.0,master,Kathmandu,1
31.0,85417.0,9637.0,453.0,6.0,bachelor,Lalitpur,1
35.0,43289.0,9854.0,784.0,8.0,bachelor,Biratnagar,1
52.0,29823.0,57329.0,388.0,10.0,bachelor,Kathmandu,0
36.0,80160.0,48088.0,784.0,13.0,high_school,Pokhara,1
29.0,61975.0,56332.0,547.0,3.0,high_school,Lalitpur,1
35.0,29540.0,42660.0,483.0,12.0,master,Kathmandu,1
44.0,36364.0,44811.0,416.0,1.0,bachelor,Biratnagar,0
42.0,24611.0,54289.0,740.0,4.0,high_school,Kathmandu,1
37.0,47663.0,24856.0,528.0,10.0,bachelor,Biratnagar,1
39.0,71991.0,26833.0,391.0,5.0,master,Pokhara,1
45.0,77679.0,56984.0,797.0,17.0,high_school,Lalitpur,1
47.0,50977.0,24963.0,364.0,9.0,high_school,Lalitpur,1
46.0,69115.0,41932.0,460.0,3.0,high_school,Lalitpur,1
,80890.0,32169.0,506.0,8.0,master,Pokhara,1
36.0,86387.0,12941.0,638.0,5.0,bachelor,Biratnagar,1
22.0,38071.0,19388.0,580.0,1.0,high_school,Pokhara,0
46.0,79275.0,10569.0,760.0,16.0,master,Lalitpur,1
28.0,92369.0,9300.0,769.0,4.0,bachelor,Pokhara,1
30.0,31938.0,44037.0,506.0,5.0,master,Pokhara,0
45.0,55195.0,41586.0,387.0,11.0,bachelor,Pokhara,1
22.0,24000.0,17015.0,790.0,9.0,master,Biratnagar,1
29.0,90588.0,50002.0,446.0,5.0,bachelor,Kathmandu,1
45.0,,56058.0,760.0,7.0,high_school,Kathmandu,0
32.0,89449.0,11254.0,788.0,1.0,bachelor,Pokhara,1
38.0,40764.0,22144.0,638.0,11.0,master,Kathmandu,1
29.0,58494.0,29214.0,603.0,12.0,master,Kathmandu,1
54.0,23373.0,45118.0,545.0,6.0,bachelor,Pokhara,1
26.0,32161.0,20183.0,435.0,9.0,high_school,Pokhara,0
49.0,47350.0,11238.0,671.0,12.0,high_school,Lalitpur,1
28.0,45351.0,11090.0,359.0,16.0,bachelor,Kathmandu,1
30.0,35305.0,16637.0,354.0,13.0,bachelor,Biratnagar,1
29.0,95353.0,27415.0,472.0,1.0,master,Pokhara,1
33.0,96797.0,29071.0,679.0,10.0,high_school,Lalitpur,1
54.0,85953.0,50415.0,702.0,0.0,bachelor,Biratnagar,1
44.0,77458.0,47679.0,467.0,18.0,high_school,Kathmandu,1
45.0,40358.0,46240.0,643.0,3.0,bachelor,Lalitpur,1
43.0,23267.0,23271.0,746.0,18.0,bachelor,Pokhara,1
48.0,58513.0,41034.0,508.0,10.0,high_school,Biratnagar,1
22.0,46092.0,38434.0,652.0,7.0,bachelor,Pokhara,1
35.0,31338.0,9188.0,577.0,10.0,bachelor,Kathmandu,1
24.0,20412.0,54823.0,714.0,3.0,master,Biratnagar,0
22.0,27543.0,15161.0,565.0,16.0,bachelor,Kathmandu,1
26.0,53496.0,33732.0,785.0,6.0,bachelor,Kathmandu,1
47.0,,16314.0,533.0,7.0,bachelor,Lalitpur,0
35.0,64425.0,28954.0,364.0,2.0,master,Pokhara,0
48.0,58756.0,26508.0,506.0,1.0,high_school,Biratnagar,1
30.0,38888.0,26969.0,485.0,14.0,master,Kathmandu,1
36.0,55735.0,50659.0,610.0,4.0,master,Kathmandu,1
36.0,67295.0,42545.0,506.0,0.0,high_school,Biratnagar,1
47.0,37955.0,41668.0,396.0,3.0,master,Kathmandu,0
34.0,57841.0,28061.0,673.0,14.0,high_school,Lalitpur,1
53.0,90640.0,18716.0,681.0,19.0,master,Lalitpur,1
53.0,85510.0,44749.0,522.0,18.0,high_school,Lalitpur,1
25.0,54911.0,44144.0,479.0,2.0,bachelor,Lalitpur,0
51.0,79031.0,21907.0,760.0,19.0,master,Kathmandu,1
44.0,27357.0,23777.0,444.0,10.0,master,Biratnagar,0
36.0,52479.0,32693.0,464.0,16.0,master,Biratnagar,1
50.0,81476.0,56745.0,592.0,12.0,master,Biratnagar,1
34.0,64811.0,47928.0,769.0,10.0,bachelor,Biratnagar,1
53.0,56208.0,31329.0,641.0,1.0,master,Pokhara,1
28.0,40150.0,51892.0,631.0,8.0,bachelor,Biratnagar,1
,91180.0,21282.0,648.0,1.0,bachelor,Pokhara,1
49.0,63286.0,28624.0,632.0,8.0,bachelor,Pokhara,1
23.0,88450.0,28321.0,418.0,8.0,bachelor,Lalitpur,1
27.0,41352.0,15488.0,497.0,7.0,high_school,Pokhara,1
49.0,75069.0,27574.0,360.0,16.0,high_school,Kathmandu,1
